"videoId","textOriginal","authorChannelId.value","likeCount","publishedAt","updatedAt"
"2Q78XXkhx0o","Kalama should be vice president and Joe Biden not president of United States. <U+0001F4AF><U+0001F4AF><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E><U+0001F922>","UCN25RUXOxtGJJ7i1fpgxocQ","0","2021-01-16T06:00:51Z","2021-01-16T06:00:51Z"
"2Q78XXkhx0o","1:28 ""And the.. Preeple who brhdh me ther dance""

1:40 ""and i thgkn think SsSenator""

3:48 ""meelionsOF uhMEzricans"" sounds like a speed rapper there.

8:24 ""America hercalled upon us""","UCevLViglWfLizC8BYOGjq9g","0","2021-01-16T04:39:07Z","2021-01-16T04:47:40Z"
"2Q78XXkhx0o","Demented warmonger","UC6jQdiK1Uq_R-zhzPwwYRDA","0","2021-01-15T18:08:56Z","2021-01-15T18:08:56Z"
"2Q78XXkhx0o","Did he say ""230 thousand million people who have lost a loved one""?
He definitely did say United States of Merica","UCLkQex6xz7rfc2PWcwUuvqw","0","2021-01-15T17:39:35Z","2021-01-15T17:39:35Z"
"2Q78XXkhx0o","Sounds like bs for an exfelon like me. We are never given a chance to achieve our dreams. 20 years trouble free, a college degree i cant use and nothing but suppression by society","UCAXuuwNB03N-ebUVKUnLelA","0","2021-01-15T15:58:39Z","2021-01-15T15:58:39Z"
"2Q78XXkhx0o","DOMINION MACHINES!!!
USA <U+0001F1FA><U+0001F1F8>, THE SHAME OF THE WORLD!!!","UCUdiK1q4KsUxg0GlmX08ixQ","2","2021-01-15T07:48:36Z","2021-01-15T07:48:36Z"
"2Q78XXkhx0o","<U+0001F339><U+0001F339><U+0001F339>","UCXPNWnUjze8IplV0cDimdkg","0","2021-01-14T23:59:59Z","2021-01-14T23:59:59Z"
"2Q78XXkhx0o","Hello. Can anyone tell me why on wikipeds Biden has different ears than me now? hmmm? so who got the vaccine? people wake up","UCfjD0J2AaK3OwAsbIZGdyPw","0","2021-01-14T23:01:59Z","2021-01-14T23:01:59Z"
"2Q78XXkhx0o","Fuuuj","UCfz6r8d1lTgrPZej0N0MQ-A","0","2021-01-14T22:11:05Z","2021-01-14T22:11:05Z"
"2Q78XXkhx0o","The most illegitimate President ever to be elected in US.
Yeah, course you won. By cheating.","UCgTmaSF46RprdHC7hAXg9vQ","1","2021-01-14T20:47:23Z","2021-01-14T20:47:23Z"
"2Q78XXkhx0o","Ram Ram ji <U+0001F64F>","UCdqfQPSJHrCGdEPnDIeKiTw","0","2021-01-14T19:00:04Z","2021-01-14T19:00:04Z"
"2Q78XXkhx0o","Trump wasn't just an admission, he was actually doing a show at WWE.","UC2eUjmA24pyWzPn2hsVGyKQ","0","2021-01-14T18:43:10Z","2021-01-14T18:43:10Z"
"2Q78XXkhx0o","Right Wing watching dis & try’s to assassinate the new president","UCGbn6koXzEpRB6sgz2SosNA","2","2021-01-14T17:37:57Z","2021-01-14T17:37:57Z"
"2Q78XXkhx0o","""We have put together the most extensive and inclusive voter fraud organization in the history of American politics"" - Joe Biden","UCCS-D48KqYYBeFC7LefQDiQ","0","2021-01-14T14:02:39Z","2021-01-14T14:02:39Z"
"2Q78XXkhx0o","Amerca..choose.. . Oldest grandpa... Next president... <U+0001F602><U+0001F62D>","UCTry-JmOAsN6tQ-0jvidojg","0","2021-01-14T12:06:52Z","2021-01-14T12:06:52Z"
"2Q78XXkhx0o","Best Royal Rumble entrance ever","UCqFSc2zUuqoJi2CGadhUb-A","0","2021-01-14T06:04:07Z","2021-01-14T06:04:07Z"
"2Q78XXkhx0o","Hitler,England.Soviet Russia as dominent ask for details of CENTO from US","UC7IOI1W0v1wS7EmZZWb3RWQ","0","2021-01-14T04:25:20Z","2021-01-14T04:25:20Z"
"2Q78XXkhx0o","If the Joe Biden familly didnt had coruption affairs, things whould have been good for US democracy. But US has a caligula style leaders latly, the policies of US are ridiculous, to take out the term "" man and woman "" is just ridiculous, what else US, be like sodom, all about sexual orientations rather than family ... US want people to do sex irresponsibly, and then abort babies and on that build a nation ?  Wow ... the roman empire felt because of this behavior, it all started with caligula. He was like clinton, loving having sex everywhere, his style of rullership plunged rome into the dark ages","UCqv07LAVTnMtcZjjQ_Hlx5A","0","2021-01-13T21:53:45Z","2021-01-13T21:53:45Z"
"2Q78XXkhx0o","Hi Joe b  my name dede and. IAM good you are my president","UCx8UpgWF958DIJJSEXusjHg","0","2021-01-13T17:21:20Z","2021-01-13T17:21:20Z"
"2Q78XXkhx0o","People like myself who Immigrated here  as Refugees from  Soviet Union , Cuba,, Ethiopia, Mozambique,  South Yemen, North Korea, Cambodia, Grenada, Honduras, Nicaragua, china, Vietnam, Poland, Hungary, Czechoslovakia, Romania, Albania, Bulgaria,  East Germany,  Mongolia,  Congo, and many more Countries! So  we Escaped and Immigrated to the US, Canada, Australia, New Zealand, etc We're all know tat the 2020 US ""Fraudlection"" was a Disgusting Globalist, Socialist Coup D'État Take Over and a TREASON Against the American People, they cheated they Stocked Votes they threw out Votes that was for President Trump I mean there are over Hundred Videos  showing  Democrat ...... Socialist Party member Volunteers  Ripping up, Folding Votes and toss'em in the Garbage In Michigan actually over a Dozen ppl got Caught Stocking Biden Votes and Destroying Trump votes. They got Charged and will be Prosecuted in the Court of Law! And the Swamp Creatures  tell us No Evidence Fake News cNN, MSNBC, BBC 
call President Trump a ""Liar"" Then Remember Dinesh D'Souza sent to PRISON for Donating $.20 000 to a Conservative Friend Running for Member of the House, or for a seat of the Senate. In 2020  the Anti American, Anti-Israel , White Guilt Sufferer Entitled, Privileged Scum bucket Mark Zuckerberg Donated over $500 000 000 (Half of a Billion) to Democrat ....... oh ... sorry I meant Socialist and Marxists Politicians Running! THE Biden/Harris  Administration ( Oh No! I start Crying every time I say or hear this)  marks the End of America as we know it also there's a good chance that it'll be the End of Israel! Because Dozens of Anti Semite Pro Jihadist Members of the House (Omar, TLAIB, Andre Carson, AOC, Pressley, etc) will be keep pushing for Ending US aid, Weapon sales to Israel! The Green New Deal will Destroy the US Economy so Badly that if Conservatives or a new Pro American Party will ever win a Presidency in the next 2 decades it will take 40-50 or even 100 yrs to recover it.
. But by then the US population will be over 1 Billion co Biden; Harris will open the Borders Defund Border Security/Patrol Services Law Enforcements, Abolish ICE, Homeland security, US Marshall Service, etc all Agencies that Enforce US Immigration Laws! ANYWAY THIS IS IT i'M DOWN! We're selling  our Houses our Business a we're moving to Budapest where I'm from my Lovely Wife is from  Mozambique but overthere is even worst then the US will be the next 4 plus yrs. I served in the MILITARY for 6 yrs and 9 months  and worked for Safeway  8 yrs I'm Eligible for my Pension from both places will become to anywhere around $ 2200 - $ 3000/ month My wife also served  she did 12 yrs She get 100% disability for  injuries suffered in Afghanistan and for PTSD she gets  she gets $.2085/month Disability and $ 1100/ month for partial pension we also waiting for A CHUNK OF $$$ for her |Injury, which was from faulty Explosives the Outpost she was working at. They already offered $125 000, but our Lawyer told us  we will receive much more! Anyway the Money we'll receive plus all money from our Property We will live like a Queen and King in Hungary  God Bless American and Canadian Patriots, we WILL praying for Ya'All. And Finally but NOT Lastly GOD BLESS OUR TRUE REAL PRESIDENT OF THESE UNITED STATES PRESIDENT ""REAL"" DONALD JOHN TRUMP! Thank you Mr. President for putting America and Americans First for  Helping Middle and Lower Class Americans  Thank you for the First Step Act for Prison Reform and Freeing thousands of Non violent Convicts whom were sentenced for many Decades for Petty crimes  many of them sent to prison for 20-30 50+ yrs or  for Life by Kamala Harris and her team!!!","UC8gXC0ZEtszaWsYj-oJc9Fw","2","2021-01-13T11:58:39Z","2021-01-13T11:58:39Z"
"2Q78XXkhx0o","“We have put together I think the most extensive and inclusive voter fraud organization in the history of American politics.”-Joe Biden","UCm8a0O16JbpAgjiDGRMEWDA","3","2021-01-13T05:55:15Z","2021-01-13T05:55:15Z"
"2Q78XXkhx0o","Joe Biden is Dead its his duplicate if you want you can read about this but not in commercial news or some shot which are bought by Rockefeller’s family or Rothschild family","UCKBfOAYWBUFDJq682hYxWFw","0","2021-01-13T05:15:47Z","2021-01-13T05:15:47Z"
"2Q78XXkhx0o","Biden cheated.","UCNW1SSGH0e_XPrxcPvom6TA","1","2021-01-13T00:21:20Z","2021-01-13T00:21:20Z"
"2Q78XXkhx0o","Biden: Give up Trump!
Trump: <U+0440><U+0443><U+0441><U+0441><U+043A><U+0438><U+0435> <U+043D><U+0435> <U+0441><U+0434><U+0430><U+044E><U+0442><U+0441><U+044F>!","UCmyMww5hs6gp1-VNAtKhYiQ","2","2021-01-12T15:43:31Z","2021-01-12T15:43:31Z"
"2Q78XXkhx0o","And Who are you?","UCTsHQIiPV94joK6pZJRMT7g","1","2021-01-12T13:57:18Z","2021-01-12T13:57:18Z"
"2Q78XXkhx0o","H E  I S. A. FAKE NOPRESIDENT","UCTsHQIiPV94joK6pZJRMT7g","0","2021-01-12T13:56:45Z","2021-01-12T13:56:45Z"
"2Q78XXkhx0o","<U+0001F600><U+0001F600><U+0001F600><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>Congratulations Mr. President..","UCHbKwYVqzQEgekbOIsfOdZA","0","2021-01-12T10:56:26Z","2021-01-12T11:00:59Z"
"2Q78XXkhx0o","<U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D> oh.. Yeah <U+0001F64C><U+0001F64C><U+0001F64C><U+0001F64C><U+0001F64C>","UCHbKwYVqzQEgekbOIsfOdZA","0","2021-01-12T10:53:25Z","2021-01-12T11:02:03Z"
"2Q78XXkhx0o","Hes not president  yet","UCl6cjkhEVMXkwNp9jUb4HGg","0","2021-01-12T03:38:13Z","2021-01-12T03:38:13Z"
"2Q78XXkhx0o","Ashli Babbitt was a patriot! 
George Floyd was a crimial!
Joe Biden is a joke!","UCUER1e-cZfrmN1NvI1YqEpw","0","2021-01-12T03:16:09Z","2021-01-12T03:16:09Z"
"2Q78XXkhx0o","Joe Biden FRAUD!!!
Joe Biden CORRUPTION!!!
Joe Biden is the President of FRAUD AND CORRUPTION!!!
USA <U+0001F1FA><U+0001F1F8> IS THE SHAME OF THE WORLD!!!","UCUdiK1q4KsUxg0GlmX08ixQ","0","2021-01-11T23:23:00Z","2021-01-11T23:23:00Z"
"2Q78XXkhx0o","Great speech writer","UC0_UODvpBigTgoMyVEoDwTQ","0","2021-01-11T19:14:48Z","2021-01-11T19:14:48Z"
"2Q78XXkhx0o","God See everything ....biden hariss devils","UC68EB-WAL812VoYN4qmV0Yg","0","2021-01-10T21:50:13Z","2021-01-10T21:50:13Z"
"2Q78XXkhx0o","A bit different from Trumps rallies... no hate at all but a hand out for cooperation.","UCNIs_lBBPJZASdsFayMTVNg","0","2021-01-10T16:18:17Z","2021-01-10T16:18:17Z"
"2Q78XXkhx0o","You are to old you are like Mandela to old to run a coutry. He is the new USA ANC good luck to the real people of the USA.

All the why from South Africa.","UCWz7SRp2Psww8YDEhU_MzAg","0","2021-01-10T15:36:24Z","2021-01-10T15:36:24Z"
"2Q78XXkhx0o","Im am a South African and they are like our Learders they are only there to make them slefs money and not the people how got the there.","UCWz7SRp2Psww8YDEhU_MzAg","0","2021-01-10T15:33:02Z","2021-01-10T15:33:02Z"
